Date,Year,Month Number,Month,Month & Year,Mon & Year
1-Jan-89,1989,1,January,January 1989,Jan 1989
2-Jan-89,1989,1,January,January 1989,Jan 1989
3-Jan-89,1989,1,January,January 1989,Jan 1989
4-Jan-89,1989,1,January,January 1989,Jan 1989
5-Jan-89,1989,1,January,January 1989,Jan 1989
6-Jan-89,1989,1,January,January 1989,Jan 1989
7-Jan-89,1989,1,January,January 1989,Jan 1989
8-Jan-89,1989,1,January,January 1989,Jan 1989
9-Jan-89,1989,1,January,January 1989,Jan 1989
10-Jan-89,1989,1,January,January 1989,Jan 1989
11-Jan-89,1989,1,January,January 1989,Jan 1989
12-Jan-89,1989,1,January,January 1989,Jan 1989
13-Jan-89,1989,1,January,January 1989,Jan 1989
14-Jan-89,1989,1,January,January 1989,Jan 1989
15-Jan-89,1989,1,January,January 1989,Jan 1989
16-Jan-89,1989,1,January,January 1989,Jan 1989
17-Jan-89,1989,1,January,January 1989,Jan 1989
18-Jan-89,1989,1,January,January 1989,Jan 1989
19-Jan-89,1989,1,January,January 1989,Jan 1989
20-Jan-89,1989,1,January,January 1989,Jan 1989
21-Jan-89,1989,1,January,January 1989,Jan 1989
22-Jan-89,1989,1,January,January 1989,Jan 1989
23-Jan-89,1989,1,January,January 1989,Jan 1989
24-Jan-89,1989,1,January,January 1989,Jan 1989
25-Jan-89,1989,1,January,January 1989,Jan 1989
26-Jan-89,1989,1,January,January 1989,Jan 1989
27-Jan-89,1989,1,January,January 1989,Jan 1989
28-Jan-89,1989,1,January,January 1989,Jan 1989
29-Jan-89,1989,1,January,January 1989,Jan 1989
30-Jan-89,1989,1,January,January 1989,Jan 1989
31-Jan-89,1989,1,January,January 1989,Jan 1989
1-Feb-89,1989,2,February,February 1989,Feb 1989
2-Feb-89,1989,2,February,February 1989,Feb 1989
3-Feb-89,1989,2,February,February 1989,Feb 1989
4-Feb-89,1989,2,February,February 1989,Feb 1989
5-Feb-89,1989,2,February,February 1989,Feb 1989
6-Feb-89,1989,2,February,February 1989,Feb 1989
7-Feb-89,1989,2,February,February 1989,Feb 1989
8-Feb-89,1989,2,February,February 1989,Feb 1989
9-Feb-89,1989,2,February,February 1989,Feb 1989
10-Feb-89,1989,2,February,February 1989,Feb 1989
11-Feb-89,1989,2,February,February 1989,Feb 1989
12-Feb-89,1989,2,February,February 1989,Feb 1989
13-Feb-89,1989,2,February,February 1989,Feb 1989
14-Feb-89,1989,2,February,February 1989,Feb 1989
15-Feb-89,1989,2,February,February 1989,Feb 1989
16-Feb-89,1989,2,February,February 1989,Feb 1989
17-Feb-89,1989,2,February,February 1989,Feb 1989
18-Feb-89,1989,2,February,February 1989,Feb 1989
19-Feb-89,1989,2,February,February 1989,Feb 1989
20-Feb-89,1989,2,February,February 1989,Feb 1989
21-Feb-89,1989,2,February,February 1989,Feb 1989
22-Feb-89,1989,2,February,February 1989,Feb 1989
23-Feb-89,1989,2,February,February 1989,Feb 1989
24-Feb-89,1989,2,February,February 1989,Feb 1989
25-Feb-89,1989,2,February,February 1989,Feb 1989
26-Feb-89,1989,2,February,February 1989,Feb 1989
27-Feb-89,1989,2,February,February 1989,Feb 1989
28-Feb-89,1989,2,February,February 1989,Feb 1989
1-Mar-89,1989,3,March,March 1989,Mar 1989
2-Mar-89,1989,3,March,March 1989,Mar 1989
3-Mar-89,1989,3,March,March 1989,Mar 1989
4-Mar-89,1989,3,March,March 1989,Mar 1989
5-Mar-89,1989,3,March,March 1989,Mar 1989
6-Mar-89,1989,3,March,March 1989,Mar 1989
7-Mar-89,1989,3,March,March 1989,Mar 1989
8-Mar-89,1989,3,March,March 1989,Mar 1989
9-Mar-89,1989,3,March,March 1989,Mar 1989
10-Mar-89,1989,3,March,March 1989,Mar 1989
11-Mar-89,1989,3,March,March 1989,Mar 1989
12-Mar-89,1989,3,March,March 1989,Mar 1989
13-Mar-89,1989,3,March,March 1989,Mar 1989
14-Mar-89,1989,3,March,March 1989,Mar 1989
15-Mar-89,1989,3,March,March 1989,Mar 1989
16-Mar-89,1989,3,March,March 1989,Mar 1989
17-Mar-89,1989,3,March,March 1989,Mar 1989
18-Mar-89,1989,3,March,March 1989,Mar 1989
19-Mar-89,1989,3,March,March 1989,Mar 1989
20-Mar-89,1989,3,March,March 1989,Mar 1989
21-Mar-89,1989,3,March,March 1989,Mar 1989
22-Mar-89,1989,3,March,March 1989,Mar 1989
23-Mar-89,1989,3,March,March 1989,Mar 1989
24-Mar-89,1989,3,March,March 1989,Mar 1989
25-Mar-89,1989,3,March,March 1989,Mar 1989
26-Mar-89,1989,3,March,March 1989,Mar 1989
27-Mar-89,1989,3,March,March 1989,Mar 1989
28-Mar-89,1989,3,March,March 1989,Mar 1989
29-Mar-89,1989,3,March,March 1989,Mar 1989
30-Mar-89,1989,3,March,March 1989,Mar 1989
31-Mar-89,1989,3,March,March 1989,Mar 1989
1-Apr-89,1989,4,April,April 1989,Apr 1989
2-Apr-89,1989,4,April,April 1989,Apr 1989
3-Apr-89,1989,4,April,April 1989,Apr 1989
4-Apr-89,1989,4,April,April 1989,Apr 1989
5-Apr-89,1989,4,April,April 1989,Apr 1989
6-Apr-89,1989,4,April,April 1989,Apr 1989
7-Apr-89,1989,4,April,April 1989,Apr 1989
8-Apr-89,1989,4,April,April 1989,Apr 1989
9-Apr-89,1989,4,April,April 1989,Apr 1989
10-Apr-89,1989,4,April,April 1989,Apr 1989
11-Apr-89,1989,4,April,April 1989,Apr 1989
12-Apr-89,1989,4,April,April 1989,Apr 1989
13-Apr-89,1989,4,April,April 1989,Apr 1989
14-Apr-89,1989,4,April,April 1989,Apr 1989
15-Apr-89,1989,4,April,April 1989,Apr 1989
16-Apr-89,1989,4,April,April 1989,Apr 1989
17-Apr-89,1989,4,April,April 1989,Apr 1989
18-Apr-89,1989,4,April,April 1989,Apr 1989
19-Apr-89,1989,4,April,April 1989,Apr 1989
20-Apr-89,1989,4,April,April 1989,Apr 1989
21-Apr-89,1989,4,April,April 1989,Apr 1989
22-Apr-89,1989,4,April,April 1989,Apr 1989
23-Apr-89,1989,4,April,April 1989,Apr 1989
24-Apr-89,1989,4,April,April 1989,Apr 1989
25-Apr-89,1989,4,April,April 1989,Apr 1989
26-Apr-89,1989,4,April,April 1989,Apr 1989
27-Apr-89,1989,4,April,April 1989,Apr 1989
28-Apr-89,1989,4,April,April 1989,Apr 1989
29-Apr-89,1989,4,April,April 1989,Apr 1989
30-Apr-89,1989,4,April,April 1989,Apr 1989
1-May-89,1989,5,May,May 1989,May 1989
2-May-89,1989,5,May,May 1989,May 1989
3-May-89,1989,5,May,May 1989,May 1989
4-May-89,1989,5,May,May 1989,May 1989
5-May-89,1989,5,May,May 1989,May 1989
6-May-89,1989,5,May,May 1989,May 1989
7-May-89,1989,5,May,May 1989,May 1989
8-May-89,1989,5,May,May 1989,May 1989
9-May-89,1989,5,May,May 1989,May 1989
10-May-89,1989,5,May,May 1989,May 1989
11-May-89,1989,5,May,May 1989,May 1989
12-May-89,1989,5,May,May 1989,May 1989
13-May-89,1989,5,May,May 1989,May 1989
14-May-89,1989,5,May,May 1989,May 1989
15-May-89,1989,5,May,May 1989,May 1989
16-May-89,1989,5,May,May 1989,May 1989
17-May-89,1989,5,May,May 1989,May 1989
18-May-89,1989,5,May,May 1989,May 1989
19-May-89,1989,5,May,May 1989,May 1989
20-May-89,1989,5,May,May 1989,May 1989
21-May-89,1989,5,May,May 1989,May 1989
22-May-89,1989,5,May,May 1989,May 1989
23-May-89,1989,5,May,May 1989,May 1989
24-May-89,1989,5,May,May 1989,May 1989
25-May-89,1989,5,May,May 1989,May 1989
26-May-89,1989,5,May,May 1989,May 1989
27-May-89,1989,5,May,May 1989,May 1989
28-May-89,1989,5,May,May 1989,May 1989
29-May-89,1989,5,May,May 1989,May 1989
30-May-89,1989,5,May,May 1989,May 1989
31-May-89,1989,5,May,May 1989,May 1989
1-Jun-89,1989,6,June,June 1989,Jun 1989
2-Jun-89,1989,6,June,June 1989,Jun 1989
3-Jun-89,1989,6,June,June 1989,Jun 1989
4-Jun-89,1989,6,June,June 1989,Jun 1989
5-Jun-89,1989,6,June,June 1989,Jun 1989
6-Jun-89,1989,6,June,June 1989,Jun 1989
7-Jun-89,1989,6,June,June 1989,Jun 1989
8-Jun-89,1989,6,June,June 1989,Jun 1989
9-Jun-89,1989,6,June,June 1989,Jun 1989
10-Jun-89,1989,6,June,June 1989,Jun 1989
11-Jun-89,1989,6,June,June 1989,Jun 1989
12-Jun-89,1989,6,June,June 1989,Jun 1989
13-Jun-89,1989,6,June,June 1989,Jun 1989
14-Jun-89,1989,6,June,June 1989,Jun 1989
15-Jun-89,1989,6,June,June 1989,Jun 1989
16-Jun-89,1989,6,June,June 1989,Jun 1989
17-Jun-89,1989,6,June,June 1989,Jun 1989
18-Jun-89,1989,6,June,June 1989,Jun 1989
19-Jun-89,1989,6,June,June 1989,Jun 1989
20-Jun-89,1989,6,June,June 1989,Jun 1989
21-Jun-89,1989,6,June,June 1989,Jun 1989
22-Jun-89,1989,6,June,June 1989,Jun 1989
23-Jun-89,1989,6,June,June 1989,Jun 1989
24-Jun-89,1989,6,June,June 1989,Jun 1989
25-Jun-89,1989,6,June,June 1989,Jun 1989
26-Jun-89,1989,6,June,June 1989,Jun 1989
27-Jun-89,1989,6,June,June 1989,Jun 1989
28-Jun-89,1989,6,June,June 1989,Jun 1989
29-Jun-89,1989,6,June,June 1989,Jun 1989
30-Jun-89,1989,6,June,June 1989,Jun 1989
1-Jul-89,1989,7,July,July 1989,Jul 1989
2-Jul-89,1989,7,July,July 1989,Jul 1989
3-Jul-89,1989,7,July,July 1989,Jul 1989
4-Jul-89,1989,7,July,July 1989,Jul 1989
5-Jul-89,1989,7,July,July 1989,Jul 1989
6-Jul-89,1989,7,July,July 1989,Jul 1989
7-Jul-89,1989,7,July,July 1989,Jul 1989
8-Jul-89,1989,7,July,July 1989,Jul 1989
9-Jul-89,1989,7,July,July 1989,Jul 1989
10-Jul-89,1989,7,July,July 1989,Jul 1989
11-Jul-89,1989,7,July,July 1989,Jul 1989
12-Jul-89,1989,7,July,July 1989,Jul 1989
13-Jul-89,1989,7,July,July 1989,Jul 1989
14-Jul-89,1989,7,July,July 1989,Jul 1989
15-Jul-89,1989,7,July,July 1989,Jul 1989
16-Jul-89,1989,7,July,July 1989,Jul 1989
17-Jul-89,1989,7,July,July 1989,Jul 1989
18-Jul-89,1989,7,July,July 1989,Jul 1989
19-Jul-89,1989,7,July,July 1989,Jul 1989
20-Jul-89,1989,7,July,July 1989,Jul 1989
21-Jul-89,1989,7,July,July 1989,Jul 1989
22-Jul-89,1989,7,July,July 1989,Jul 1989
23-Jul-89,1989,7,July,July 1989,Jul 1989
24-Jul-89,1989,7,July,July 1989,Jul 1989
25-Jul-89,1989,7,July,July 1989,Jul 1989
26-Jul-89,1989,7,July,July 1989,Jul 1989
27-Jul-89,1989,7,July,July 1989,Jul 1989
28-Jul-89,1989,7,July,July 1989,Jul 1989
29-Jul-89,1989,7,July,July 1989,Jul 1989
30-Jul-89,1989,7,July,July 1989,Jul 1989
31-Jul-89,1989,7,July,July 1989,Jul 1989
1-Aug-89,1989,8,August,August 1989,Aug 1989
2-Aug-89,1989,8,August,August 1989,Aug 1989
3-Aug-89,1989,8,August,August 1989,Aug 1989
4-Aug-89,1989,8,August,August 1989,Aug 1989
5-Aug-89,1989,8,August,August 1989,Aug 1989
6-Aug-89,1989,8,August,August 1989,Aug 1989
7-Aug-89,1989,8,August,August 1989,Aug 1989
8-Aug-89,1989,8,August,August 1989,Aug 1989
9-Aug-89,1989,8,August,August 1989,Aug 1989
10-Aug-89,1989,8,August,August 1989,Aug 1989
11-Aug-89,1989,8,August,August 1989,Aug 1989
12-Aug-89,1989,8,August,August 1989,Aug 1989
13-Aug-89,1989,8,August,August 1989,Aug 1989
14-Aug-89,1989,8,August,August 1989,Aug 1989
15-Aug-89,1989,8,August,August 1989,Aug 1989
16-Aug-89,1989,8,August,August 1989,Aug 1989
17-Aug-89,1989,8,August,August 1989,Aug 1989
18-Aug-89,1989,8,August,August 1989,Aug 1989
19-Aug-89,1989,8,August,August 1989,Aug 1989
20-Aug-89,1989,8,August,August 1989,Aug 1989
21-Aug-89,1989,8,August,August 1989,Aug 1989
22-Aug-89,1989,8,August,August 1989,Aug 1989
23-Aug-89,1989,8,August,August 1989,Aug 1989
24-Aug-89,1989,8,August,August 1989,Aug 1989
25-Aug-89,1989,8,August,August 1989,Aug 1989
26-Aug-89,1989,8,August,August 1989,Aug 1989
27-Aug-89,1989,8,August,August 1989,Aug 1989
28-Aug-89,1989,8,August,August 1989,Aug 1989
29-Aug-89,1989,8,August,August 1989,Aug 1989
30-Aug-89,1989,8,August,August 1989,Aug 1989
31-Aug-89,1989,8,August,August 1989,Aug 1989
1-Sep-89,1989,9,September,September 1989,Sep 1989
2-Sep-89,1989,9,September,September 1989,Sep 1989
3-Sep-89,1989,9,September,September 1989,Sep 1989
4-Sep-89,1989,9,September,September 1989,Sep 1989
5-Sep-89,1989,9,September,September 1989,Sep 1989
6-Sep-89,1989,9,September,September 1989,Sep 1989
7-Sep-89,1989,9,September,September 1989,Sep 1989
8-Sep-89,1989,9,September,September 1989,Sep 1989
9-Sep-89,1989,9,September,September 1989,Sep 1989
10-Sep-89,1989,9,September,September 1989,Sep 1989
11-Sep-89,1989,9,September,September 1989,Sep 1989
12-Sep-89,1989,9,September,September 1989,Sep 1989
13-Sep-89,1989,9,September,September 1989,Sep 1989
14-Sep-89,1989,9,September,September 1989,Sep 1989
15-Sep-89,1989,9,September,September 1989,Sep 1989
16-Sep-89,1989,9,September,September 1989,Sep 1989
17-Sep-89,1989,9,September,September 1989,Sep 1989
18-Sep-89,1989,9,September,September 1989,Sep 1989
19-Sep-89,1989,9,September,September 1989,Sep 1989
20-Sep-89,1989,9,September,September 1989,Sep 1989
21-Sep-89,1989,9,September,September 1989,Sep 1989
22-Sep-89,1989,9,September,September 1989,Sep 1989
